================================================================================
HESSIAN SENSITIVITY ANALYSIS REPORT
================================================================================

Layer-wise Sensitivity Summary:
--------------------------------------------------------------------------------
Layer Name                                     Mean        Max        Min        Std
--------------------------------------------------------------------------------
model                                      0.855469   1.781250   0.152344   0.683382
model.model.layers                         0.237859   4.906250   0.001534   0.360339


Parameter-level Hessian Info:
--------------------------------------------------------------------------------
Parameter Name                                              λ_i      n_i          S_i
--------------------------------------------------------------------------------
model.model.layers.0.self_attn.q_norm.weight           0.090332       12   0.00752767
model.model.layers.2.mlp.down_proj.weight              4.906250     1000   0.00490625
model.model.layers.3.self_attn.q_norm.weight           0.058105       12   0.00484212
model.model.layers.4.self_attn.q_norm.weight           0.041260       12   0.00343831
model.model.layers.1.self_attn.q_norm.weight           0.041016       12   0.00341797
model.model.layers.27.mlp.down_proj.weight             3.234375     1000   0.00323437
model.model.layers.2.self_attn.k_norm.weight           0.037842       12   0.00315348
model.model.layers.2.self_attn.q_norm.weight           0.037354       12   0.00311279
model.model.layers.3.self_attn.k_norm.weight           0.035400       12   0.00295003
model.model.layers.15.self_attn.q_norm.weight          0.035156       12   0.00292969
model.model.layers.7.self_attn.q_norm.weight           0.032959       12   0.00274658
model.model.layers.0.input_layernorm.weight            0.539062      204   0.00264246
model.model.layers.6.self_attn.q_norm.weight           0.029907       12   0.00249227
model.model.layers.9.self_attn.k_norm.weight           0.027588       12   0.00229899
model.model.layers.1.input_layernorm.weight            0.457031      204   0.00224035
model.model.layers.12.self_attn.q_norm.weight          0.026733       12   0.00222778
model.model.layers.5.self_attn.q_norm.weight           0.026245       12   0.00218709
model.model.layers.1.self_attn.k_norm.weight           0.026123       12   0.00217692
model.model.layers.12.self_attn.k_norm.weight          0.025146       12   0.00209554
model.model.layers.17.self_attn.k_norm.weight          0.022461       12   0.00187174
model.model.layers.8.self_attn.k_norm.weight           0.021484       12   0.00179036
model.lm_head.weight                                   1.781250     1000   0.00178125
model.model.layers.17.self_attn.q_norm.weight          0.021362       12   0.00178019
model.model.layers.18.self_attn.q_norm.weight          0.020874       12   0.00173950
